
Image Name                     PID Session Name        Session#    Mem Usage
msedgewebview2.exe           16176 Console                    3     54,700 K
msedgewebview2.exe           13880 Console                    3     32,984 K
msedgewebview2.exe           10336 Console                    3     20,364 K
msedgewebview2.exe            2424 Console                    3     51,844 K
msedgewebview2.exe            9684 Console                    3     39,500 K
dllhost.exe                  13072 Console                    3     11,936 K
firefox.exe                  13000 Console                    3    394,544 K
crashhelper.exe               5668 Console                    3      7,648 K
firefox.exe                  14756 Console                    3    186,832 K
firefox.exe                  12360 Console                    3     14,480 K
firefox.exe                   4248 Console                    3    146,188 K
firefox.exe                  19524 Console                    3     56,628 K
firefox.exe                  15300 Console                    3    220,316 K
firefox.exe                  16368 Console                    3     15,364 K
firefox.exe                  19220 Console                    3    741,332 K
firefox.exe                  19576 Console                    3    574,048 K
firefox.exe                  17904 Console                    3  1,864,992 K
firefox.exe                  12492 Console                    3     15,600 K
firefox.exe                   6820 Console                    3     19,732 K
rundll32.exe                 20920 Console                    3      9,036 K
Code.exe                     13468 Console                    3     85,952 K
Code.exe                      9792 Console                    3     31,160 K
Code.exe                     14908 Console                    3    112,744 K
Code.exe                     15988 Console                    3     34,948 K
Code.exe                      5008 Console                    3    419,444 K
Code.exe                      8472 Console                    3    118,708 K
Code.exe                     15552 Console                    3     51,060 K
Code.exe                      6928 Console                    3     59,220 K
Code.exe                     21700 Console                    3     69,680 K
pet.exe                      10836 Console                    3      6,580 K
conhost.exe                  12096 Console                    3      6,240 K
Code.exe                     20572 Console                    3     53,568 K
Code.exe                     14748 Console                    3     38,912 K
conhost.exe                  21192 Console                    3      6,536 K
powershell.exe               10776 Console                    3     61,356 K
Code.exe                      9712 Console                    3    674,744 K
firefox.exe                   8208 Console                    3    132,740 K
Code.exe                     20148 Console                    3     34,840 K
ShellExperienceHost.exe       4364 Console                    3     17,700 K
KeePass.exe                  21144 Console                    3     33,752 K
wfica32.exe                   5768 Console                    3    185,000 K
audiodg.exe                  15972 Services                   0     15,828 K
wfica32.exe                  21744 Console                    3    126,408 K
HdxRtcEngine.exe             21528 Console                    3     58,688 K
svchost.exe                  23700 Services                   0     12,368 K
RuntimeBroker.exe            13752 Console                    3     11,924 K
cmd.exe                      24344 Console                    3      4,564 K
conhost.exe                  21792 Console                    3     14,000 K
OneDrive.Sync.Service.exe    21292 Console                    3     10,444 K
firefox.exe                   8104 Console                    3    121,000 K
SndVol.exe                   22228 Console                    3     14,160 K
firefox.exe                  14088 Console                    3    350,052 K
firefox.exe                   7860 Console                    3     31,348 K
firefox.exe                   9052 Console                    3     31,324 K
firefox.exe                  24772 Console                    3     31,272 K
svchost.exe                  15400 Services                   0      7,020 K
svchost.exe                   2896 Services                   0      8,172 K
svchost.exe                  15028 Services                   0     27,720 K
conhost.exe                  25076 Console                    3      7,328 K
powershell.exe                1784 Console                    3     76,544 K
python3.13.exe                3192 Console                    3     21,064 K
tasklist.exe                 13804 Console                    3     10,072 K
